iter	Logloss
0	0.6028705978
1	0.546171627522	0.50478141533	0.472467520544	0.449885863555	0.432099984466	0.420120651477	0.408877045288	0.401846281799	0.3953472657110	0.3899367938111	0.3840287221
12	0.3795297743113	0.3770859402114	0.3711735564115	0.3688256653116	0.36610967
17	0.3639707169
18	0.360771865
19	0.3593997135
20	0.3566100614
21	0.3555126703
22	0.3538176174
23	0.3529437942
24	0.3509937224
25	0.3493502087
26	0.3475677492
27	0.3457479244
28	0.3448787151
29	0.3441110058
30	0.3434030181
31	0.3414576109
32	0.3407976604
33	0.3402342043
34	0.3394184655
35	0.3388352184
36	0.3383524935
37	0.337562123
38	0.337051452
39	0.3364823303
40	0.3356763711
41	0.3340063724
42	0.3336087036
43	0.3324191031
44	0.3316522332
45	0.3312003723
46	0.3305969908
47	0.3300766411
48	0.3292263986
49	0.328738008
50	0.32808238
51	0.3272551696
52	0.3270846442
53	0.3265698561
54	0.3252256843
55	0.3246891541
56	0.3241254896
57	0.3238373029
58	0.3235027661
59	0.3231352002
60	0.3226139087
61	0.322405567
62	0.3222317925
63	0.3218708294
64	0.3215195689
65	0.3209384347
66	0.3207181282
67	0.3205687627
68	0.3203106982
69	0.3200512027
70	0.3199401701
71	0.3193666388
72	0.3189346506
73	0.3185455369
74	0.3182427822
75	0.3180416448
76	0.3175505482
77	0.3173470189
78	0.3169352423
79	0.3165414899
80	0.3162913796
81	0.3159936873
82	0.3155114694
83	0.3152054647
84	0.3149467676
85	0.3146959286
86	0.3145935643
87	0.3141985589
88	0.3139390821
89	0.3135099395
90	0.3133606642
91	0.3131661871
92	0.3130022515
93	0.3128112499
94	0.3124748708
95	0.3120301446
96	0.3118051629
97	0.3113248826
98	0.3110832677
99	0.3107627833
100	0.3105320061
101	0.310310472
102	0.3101634072
103	0.3095732276
104	0.3092572849
105	0.309034922
106	0.3086866742
107	0.3084063887
108	0.3082829036
109	0.3078448408
110	0.3074510661
111	0.3072817343
112	0.3071183843
113	0.3067803923
114	0.3064105373
115	0.3062832374
116	0.3061162172
117	0.3059301242
118	0.3056561853
119	0.3054703219
120	0.3053951256
121	0.3052291867
122	0.3050344086
123	0.3047696171
124	0.3046154761
125	0.3045235968
126	0.3043209679
127	0.3040976139
128	0.3038540623
129	0.3036949973
130	0.3035972297
131	0.3033322737
132	0.3031316992
133	0.3029057438
134	0.3026363935
135	0.302429941
136	0.302345453
137	0.3021006144
138	0.3019500716
139	0.3016858012
140	0.3015656257
141	0.3014186733
142	0.3011776108
143	0.3009698709
144	0.3008108485
145	0.3004240094
146	0.300205681
147	0.299928694
148	0.2995913864
149	0.2992832919
150	0.2991663975
151	0.2990672945
152	0.2988855487
153	0.2987779843
154	0.2979384037
155	0.2977262724
156	0.297520704
157	0.2974152974
158	0.2971486038
159	0.2968631688
160	0.2966439581
161	0.2965504373
162	0.2964221861
163	0.2962107161
164	0.2960794624
165	0.2958670096
166166	0.29603092167167	0.29588765168168	0.29550563169169	0.29527285170170	0.29488473171171	0.29465529172172	0.2945358173	173	0.294384174	0174	0.294016175	0175	0.293829176	0176	0.293651177	0177	0.293386178	0178	0.29323179	0179	0.292964180	0180	0.292843181	0181	0.292639182	0182	0.29245183	0.183	0.2922184	0.2184	0.2920185	0.2185	0.2917186	0.2186	0.2917187	0.2187	0.291188	0.29188	0.291189	0.29189	0.291190	0.29190	0.291191	0.29191	0.291192	0.29192	0.290193	0.29193	0.290194	0.29194	0.290195	0.29195	0.290196	0.29196	0.289197	0.2197	0.289198	0.29198	0.289199	0.29199	0.289634265

